StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location,District
v2sj,Hai Phong Pho Vietnamese Food,Pho,4.7,553,hong kong,"Shop 3, G/F, Haven Mansion, 108 Woo Sung Street, Jordan,",Jordan
hu7c,Soup Very Good,Hong Kong,4.9,124,hong kong,"3/F, Chinachem Cameron Centre, 42-44,Cameron Road, Tsim Sha Tsui, KL,",Tsim Sha Tsui
s1jh,Light Vegetarian Restaurant,Cantonese,4.7,225,hong kong,"G/F, New Lucky House, 13 Jordan Road, Jordan,",Jordan
n9xp,Skewer King,Skewers,4.7,2048,hong kong,"Shop 2, Ground Floor, Windsor Mansions, 17 Austin Road ,Tsim Sha Tsui,",Tsim Sha Tsui
v5pv,Sweet Dreamer Dessert (Kennedy Town),Hong Kong,4.8,821,hong kong,"G/F, May Sun Building, 15 Smithfield, Kennedy Town,",Kennedy Town
w4kv,Fresco Dim Sum,Dim Sum ,4.9,1381,hong kong,"Shop A, G/F, Fook On Mansion, 23-25 North Street, Kennedy Town,",Kennedy Town
v0ro,Turkeyano (Jordan),Middle Eastern,4.8,575,hong kong,"Shop 7A, G/F, Honour House, 375-381 Nathan Rd, Yau Ma Tei,",Yau Ma Tei
tj8w,Yiumo,Japanese,4.0,16,hong kong,"Shop G, G/F, Shun Cheong Building , 28 Hau Wo Street, Western District,",Western District
w6so,Sino Vegetarian Restaurant,Hong Kong,4.8,430,hong kong,"G/F, 131-135 PARKES STREET, JORDAN,",Jordan
e7ar,2 Good Bakery,Cakes,5.0,46,hong kong,"G/F, 119 Parkes Street, Jordan,",Jordan
w3mj,Kai Kee Restaurant (Kennedy Town),Cha Chaan Teng,4.8,1678,hong kong,"Shop B-C, G/F, Luen Yau Apartments, 102-114 Belcher's Street, Kennedy Town,",Kennedy Town
v4im,Cake's Secrets,Cakes,4.6,113,hong kong,"G/F, 43 Hau Wo Street, Kennedy Town,",Kennedy Town
v8qq,Tandoori (Jordan),Indian,3.9,21,hong kong,"G/F, Mau Lam Commercial Building, 16-18 Mau Lam Street, Jordan,",Jordan
v6mp,Comptoir,French,4.8,190,hong kong,"G/F, 42 Forbes Street, Kennedy Town,",Kennedy Town
zvoz,Biryani Cuisine (Jordan),Indian,4.9,103,hong kong,"G/F & M/F, Mau Lam Commercial Building, 16-18 Mau Lam Street, Jordan,",Jordan
iz15,Fu Loi Chinese Kitchen,Cha Chaan Teng,4.8,112,hong kong,"G/F, 8 Shing Ping Street, Happy Valley,",Happy Valley
u30n,t2P,Japanese,4.8,34,hong kong,"Shop 9, G/F, Belle House, 23-35 Whitfield Road, Tin Hau,",Tin Hau
xmu2,Cha Don,Cha Chaan Teng,4.9,346,hong kong,"G/F, 7 Pak Hoi Street, Yau Ma Tei,",Yau Ma Tei
v75m,"Mendel's: Bagels, Coffee & Breakfast",Western,5.0,71,hong kong,"Shop A, G/F, Kam Fu Mansion, 66-68 Catchick Street, Kennedy Town,",Kennedy Town
fbst,Kong Shing Rice Noodle Restaurant,Cha Chaan Teng,4.9,48,hong kong,"Ground Floor, 7A Jordan Road, Yau Ma Tei,",Jordan
v8hk,KTM Nepalese Restaurant,Indian,4.8,324,hong kong,"G/F, Sincere Western House, 71 Cadogan Street, Kennedy Town,",Kennedy Town
lbyi,Hyolmo Fusion Restaurant & Bar,Indian,4.6,98,hong kong,"G/F, Wah Wai Mansion, 70A Wai Ching Street, Yau Ma Tei,",Yau Ma Tei
s5ta,Thalassic Thai Restaurant,Thai,4.8,1826,hong kong,"Shop C-D, G/F, Chi Ping Building, 38 Hau Wo Street, Kennedy Town,",Kennedy Town
fq6x,Song Sushi [Extended Delivery],Sushi,5.0,98,hong kong,"Shop B, G/F, Yue On Building, 78-86 Catchick Street, Kennedy Town,",Kennedy Town
fgdt,Katsuo Udon (Jordan),Japanese,4.9,114,hong kong,"Shop 8, LG/F, Eaton Hong Kong, 380 Nathan Road, Jordan,",Jordan
v9jo,BRESOLA,Italian,4.5,69,hong kong,"Shop D, G/F, Yue On Building, 78-86 Catchick Street, Kennedy Town,",Kennedy Town
v3jc,Tequila on Davis,Mexican,4.9,367,hong kong,"G/F, Grand Fortune Mansion, 1 Davis Street, Kennedy Town,",Kennedy Town
udo6,Little Indian Restaurant,Indian,4.7,154,hong kong,"Ground Floor, 19 Woosung Street, Jordan,",Jordan
w2w1,Ironyakiniku,Japanese,5.0,14,hong kong,"G/F, 127 Parkes Street, Jordan,",Jordan
s0uh,BB Cow Beef Brisket Restaurant,Hong Kong,4.8,679,hong kong,"G/F 11, PAK HOI STREET, JORDAN, KOWLOON,",Jordan
h0vd,Souper Kitchen,Hong Kong,4.9,486,hong kong,"Shop 4, LG/F, Eaton Hong Kong, 380 Nathan Road, Jordan,",Jordan
ir3b,One Half Story Cafe,Western,4.8,12,hong kong,"G/F, 11 Saigon Street, Jordan,",Jordan
v3jj,11 Westside,Mexican,4.9,528,hong kong,"1/F, The Hudson, 11 Davis Street, Kennedy Town,",Kennedy Town
kaf2,SamJim Claypot Rice,Hong Kong,5.0,287,hong kong,"Shop E, G/F, Backingham Building, 317-321 Nathan Road, Jordan,",Jordan
w6dk,The Cofftea Shop,Coffee,4.8,132,hong kong,"Shop H, G/F, Yue On Building, 78-86 Catchick Street, Kennedy Town,",Kennedy Town
c7t9,Yan Gong Restaurant,Chinese,4.9,33,hong kong,"Shop 1-2, G/F, Shun Fai Building, 19 Hau Wo Street, Kennedy Town,",Kennedy Town
kuci,Cheung Kee Sea Food Kitchen,Hong Kong,4.3,66,hong kong,"Stall 12, 5/F, Yue Kwong Road Market, 18 Aberdeen Reservoir Road, Aberdeen,",Aberdeen
eyum,Full Happiness,Cantonese,4.4,28,hong kong,"Shop A, G/F, Mint Garden, 1-3 Cheong Ming Street, Happy Valley,",Happy Valley
w8xi,Lotus Garden,Hong Kong,4.7,199,hong kong,"Shop D, G/F, Nam Wing Building, 49-51 Sing Woo Road, Happy Valley,",Happy Valley
pwia,Curry Express,Indian,4.7,455,hong kong,"Ground Floor, 79C Woosung Street, Jordan,",Jordan
