"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City"
"t3p6","EL GORDO Tacos & Grill Factory","Mexican","2.9","(22)","Hong Kong"
"nt82","Gwo Lok Rd. C.","Bubble Tea","4.8","(80)","Hong Kong"
"s6ed","NINOEN Japanese Shop (Sheung Wan)","Sushi","4.6","(5000+)","Hong Kong"
"jjzk","Major & Minor","International","4.7","(22)","Hong Kong"
"x4lf","Tin Lung Roast Goose (Sun Hey Mansion)","Cha Chaan Teng","4.6","(100+)","Hong Kong"
"izx9","Lemon Grass (Wan Chai)","Singaporean","3.2","(16)","Hong Kong"
"i4ju","Ying Kee Four Seasons Herbal Cuisine","Hong Kong","4.3","(100+)","Hong Kong"
"adh0","Zong Zap Thai Food","Thai","4.6","(67)","Hong Kong"
"w1cg","Trafalgar (Wan Chai)","Western","4","(40)","Hong Kong"
"x3hi","Yixin Restaurant","Cantonese","4.6","(100+)","Hong Kong"
"hf0n","Coco Home (Wan Chai) [Extended Delivery]","Japanese","2","(7)","Hong Kong"
"w3bj","Ruam","Thai","4.9","(46)","Hong Kong"
"s3jm","KonFusion Restaurant and Bar","Western","4.2","(100+)","Hong Kong"
"yask","Dong Dong Choice","Hong Kong","3.7","(46)","Hong Kong"
"v6tb","Bubba Gump Shrimp Co Restaurant & Market","American","5","(13)","Hong Kong"
"h8u0","Kokoro Tokyo Mazesoba (Wan Chai)","Ramen","4.7","(100+)","Hong Kong"
"xuox","West Village Pizza House","Western","3.6","(36)","Hong Kong"
"zma5","Eat Fresh Cart Noodle (Sheung Wan)","Cart Noodles","4.3","(100+)","Hong Kong"
"blk1","San Hei","Chinese","4.4","(100+)","Hong Kong"
"opdm","Number One Beef Taiwanese Cuisine","Taiwanese","3.8","(100+)","Hong Kong"
"ezw1","Mori Ya","Japanese","4.4","(64)","Hong Kong"
"epup","Check In ThaiViet","Thai","2.6","(27)","Hong Kong"
"ryby","Champion Roasting","Siu Mei","4.8","(20)","Hong Kong"
"s3le","Namaste Kitchen","Indian","4.3","(2000+)","Hong Kong"
"x7up","Empire Wings (Wan Chai)","Western","4.3","(500+)","Hong Kong"
"d1du","Red City Cafe","Cha Chaan Teng","4.6","(500+)","Hong Kong"
"v9dh","Sun Chuk Yuen Vietnamese Restaurant (Wan Chai)","Vietnamese","4.5","(500+)","Hong Kong"
"kq9v","Super Hong Kong Restaurant","Cha Chaan Teng","4.5","(81)","Hong Kong"
"kmmr","Jiufen Taiwanese Food [Extended Delivery]","Taiwanese","2.6","(19)","Hong Kong"
"hujd","Lucky Smash (Wan Chai)","Burgers","4.3","(57)","Hong Kong"
"i232","Gourmet @ Kewspace (Kew Green Hotel)","Thai","3.8","(69)","Hong Kong"
"z4tu","Holy Gaw","Filipino","4.5","(60)","Hong Kong"
"v4ey","Food Oriental","International","4.7","(22)","Hong Kong"
"v5xl","Bosom Hainan Chicken","Hainan chicken","4.3","(500+)","Hong Kong"
"y63f","Lau Bei Chicken Thigh","Fried Chicken","4.4","(69)","Hong Kong"
"x6rs","Sun Kau Kee","Hong Kong","4.5","(100+)","Hong Kong"
"aabg","Nepalese Restaurant","Indian","2.6","(31)","Hong Kong"
"v7ay","Big Pizza (Wan Chai)","Pizza","3.8","(1000+)","Hong Kong"
"fcdc","Peking Dumpling Wong","Hong Kong","4","(100+)","Hong Kong"
"s5nm","Banh Mì","Vietnamese","4.7","(500+)","Hong Kong"
"nzsn","CoCo Fresh Tea & Juice (Wan Chai)","Bubble Tea","4.7","(100+)","Hong Kong"
"v9kj","Wan Gui Chun Flavor Rice Noodle","Rice Noodles","3.7","(500+)","Hong Kong"
"v1iq","Chiu Hing Noodles (Hennessy Road)","Hong Kong","4.7","(98)","Hong Kong"
"w3nr","Kee Wah Tearoom","Cha Chaan Teng","4.2","(100+)","Hong Kong"
"w2yl","Taboo","International","4.1","(46)","Hong Kong"
"ua1t","The Wanch","Western","4.3","(4)","Hong Kong"
"v4iz","Ruto","Japanese","4.8","(67)","Hong Kong"
"x8qh","Ra Cha Moo Yang","Thai","4.5","(500+)","Hong Kong"
"joqb","India Gate (Wan Chai)","Curry","4.5","(100+)","Hong Kong"
"s7es","Rubab Utsav Restaurant & Bar","Indian","3.7","(100+)","Hong Kong"
