"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"v2ik","Harvest House Sushi","Japanese",4.9,475,"hong kong","1/F, 83 Wan Chai Road, Wan Chai,"
"i38g","Protein Matters [Extended Delivery]","Japanese",5.0,45,"hong kong","Kitchen 6, 2/F, Lucky Commercial Centre, 103 Des Voeux Road West, Sheung Wan,"
"o3a5","S C Kitchen","Hong Kong",0.0,0,"hong kong","Shop 1I, G/F, Yat Chau International Plaza, 118 Connaught Road West, Sai Ying Pun,"
"v8di","Purple King","Chinese",4.8,96,"hong kong","Cooked Food Market, 1/F, Centre Street Market, 44 Centre Street, Sai Ying Pun,"
"ibmy","Mengokoro Kunimoto","Ramen",0.0,0,"hong kong","Shop 2A, G/F, Wing Hing Building, 6-12 Spring Garden Lane, Wan Chai,"
"mexe","CoCo Tree Thai Restaurant","Thai",4.8,314,"hong kong","Shop 2-3, G/F, Wah Fai Court, 1-6 Ying Wa Terrace, Sai Ying Pun,"
"w9ki","Xihe Ya Yuan","Chinese",5.0,11,"hong kong","Shop OTE203, 2/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui,"
"v7bb","Shredded Chicken","Chinese",4.4,299,"hong kong","Shop 1A, G/F, Fully Building, 62-76 Wan Chai Road, Wan Chai,"
"xx2r","Dara","Filipino",0.0,0,"hong kong","Shop 3 & 5-6, G/F, Soho 189, 189 Queen's Road West, Sai Ying Pun,"
"w4ar","Sweeties' Dessert","HK Dessert",4.9,809,"hong kong","Shop M4B, G/F, Hing Wah Mansion, 1 Babington Path, Mid-Levels,"
"uua0","Sang Kee Braised Goose","Chinese",4.9,241,"hong kong","Shop 4, G/F, Wo Yick Mansion, 263 Queen's Road West, Sai Ying Pun,"
"s2an","The Den","International",4.9,138,"hong kong","G/F, Block B, Hing Wah Mansion, 4-8 Oaklands Path, Mid-Levels,"
"y6gw","Mid-Levels Canteen","Hong Kong",4.8,2064,"hong kong","Shop B, G/F, Kam Ning Mansion, 13-15 Bonham Road, Mid-Levels,"
"fdby","Hing Li Cafe [Extended Delivery]","Cha Chaan Teng",0.0,0,"hong kong","Stall CF14, 2/F, Cooked Food Centre, Lockhart Road Municipal Services Building, 225 Hennessy Road, Wan Chai,"
"v9nx","Sammy'S Kitchen","Western",4.9,523,"hong kong","G/F, 204-206 Queen's Road West, Sai Ying Pun,"
"bq33","Lang's Cafe (Wan Chai)","Dim Sum ",4.8,257,"hong kong","Shop A & B, G/F, Yanville, 8 Tai Yuen Street, Wan Chai,"
"t0x2","Tandoori Bites","Middle Eastern",5.0,125,"hong kong","Shop C, G/F, Kin Hing Building, 172-180 Queen's Road West, Sheung Wan,"
"x4zq","Men Wah Bing Teng (Wan Chai Road)","Cha Chaan Teng",4.7,784,"hong kong","Shop 1, G/F, L' Wanchai, 109 Wan Chai Road, Wan Chai,"
"s8hs","Hikawa (Wan Chai)","Japanese",4.2,246,"hong kong","Shop D, G/F, Cactus Mansion, 1-19 McGregor Street, Wan Chai,"
"r0v5","Snake Soup Sun","Hong Kong",4.9,114,"hong kong","Shop J, G/F, 10-12 Cross Street, Wan Chai,"
"wde4","Kome Kushi (Western District)","Japanese",4.8,34,"hong kong","Shop 2, G/F, Island Crest, 8 First Street, Sai Ying Pun,"
"v5je","Why Noodle","Chinese",4.8,595,"hong kong","Shop 6-7, G/F, Wah Fai Court, 1-6 Ying Wa Terrace, Sai Ying Pun,"
"ljgl","LykeTea Bistro (Sai Ying Pun)","Western",0.0,0,"hong kong","G/F, 21 First Street, Sai Ying Pun,"
"s887","Ah Jeng's Coffee Club","Coffee",5.0,39,"hong kong","Shop B, G/F, Tung Cheung Building, 1 Second Street, Sai Ying Pun,"
"ehqk","Golden Casa Cafe","Hong Kong",4.9,79,"hong kong","Shop G, G/F, Cactus Mansion, 13 Mcgregor Street, Wan Chai,"
