StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location,District,Admin_District
x8xy,The Square (Exchange Square),Chinese,4.4,20,hong kong,"Shop 401, 4/F, Podium, Two Exchange Square, 8 Connaught Place, Central,",Central,Central and Western District
k7ur,Caligari,Curry,4.8,36,hong kong,"Shop F, 2/F, Entertainment Building, 30 Queen's Road Central, Central,",Central,Central and Western District
l78w,Trinity Dumpling (Central),Dumpling,4.9,178,hong kong,"G/F, 7 Li Yuen Street West, Central,",Central,Central and Western District
o4cm,Yifang Taiwan Fruit Tea (Central Market),Taiwanese,4.9,90,hong kong,"111, 1/F, Central Market, 93 Queen’s Road Central, Central,",Central,Central and Western District
zswb,Home Noodles (Central),Hong Kong,4.9,267,hong kong,"G/F & C/L, 61 Wellington Street, Central,",Central,Central and Western District
poxo,Attap (Central),Hainan chicken,4.8,94,hong kong,"Shop G16-19, G/F, Central Market, 93 Queen's Road Central, Central,",Central,Central and Western District
s8jv,Pampas Argentinean Steak House,,4.8,56,hong kong,"G/F, 36 Elgin Street, Central,",Central,Central and Western District
vsnc,Kyung Yang Katsu,Korean,5.0,51,hong kong,"G/F, 59 Elgin Street, Central,",Central,Central and Western District
bsyh,In's Thai,Thai,4.8,44,hong kong,"Shop D2, UG/F, Far East Finance Centre, 16 Harcourt Road, Admiralty,",Admiralty,Central and Western District
m7zr,Mother Pearl (Central),Bubble Tea,4.9,368,hong kong,"G/F, Lyndhurst Building, 29 Lyndhurst Terrace, Central,",Central,Central and Western District
d6ta,Breakfast Cottage,Western,5.0,28,hong kong,"G/F & 1/F, Treasure View Soho, 10-12 Staunton Street, Central,",Central,Central and Western District
w3dl,Wah Kee Restaurant,Hong Kong,4.8,208,hong kong,"G/F, 10 Staveley Street, Central,",Central,Central and Western District
ja4a,CU Noodles (Central),Hong Kong,4.3,19,hong kong,"G/F, 82 Stanley Street, Central,",Central,Central and Western District
wb7m,Flat Iron Steak,Steak,4.4,12,hong kong,"G/F, 30 Hollywood Road, Central,",Central,Central and Western District
v4al,Chopsticks Kee,Hong Kong,4.7,577,hong kong,"Shop A1, G/F, Khuan Ying Commercial Building, 85-89 Wellington Street, Central,",Central,Central and Western District
lw9i,Florence Trippa [Extended Delivery],Italian,4.9,16,hong kong,"Shop E, G/F, 39-41 Caine Road, Mid-Levels,",Mid-Levels,Central and Western District
mhzx,Uncle Miguel,Mexican,4.8,56,hong kong,"G/F, 49 Peel Street, Central,",Central,Central and Western District
gpti,Right Hand Yaki,Japanese,4.5,33,hong kong,"G/F, 10 Tit Hong Lane, Central,",Central,Central and Western District
ybjd,Blazed (Central),Western,4.8,161,hong kong,"Shop 1, G/F, Kar Ho Building, 35-39 Graham Street, Central,",Central,Central and Western District
v4yd,OneZo (Central),Bubble Tea,4.9,212,hong kong,"Shop 2, G/F, Sun Fung Mansion, 52-60 Lyndhurst Terrace, Central,",Central,Central and Western District
z6v4,Poke Heart,Healthy,4.8,52,hong kong,"Shop G, G/F, New Central Mansion, 45 Gage Street, Central,",Central,Central and Western District
xp46,Sonny's Pizza,Pizza,4.1,46,hong kong,"Shop A, G/F, 1B Elgin Street, Central,",Central,Central and Western District
h6ag,Five Dragon Congee & Noodle Restaurant,Cha Chaan Teng,4.8,483,hong kong,"Shop 1-3, G/F, United Building, 17-19 Jubilee Street, Central,",Central,Central and Western District
jrrd,Tai Thai Restaurant,Thai,4.4,71,hong kong,"2/F, Hollywood House, 27 Hollywood Road, Central,",Central,Central and Western District
x3tr,Ser Wong Fun,Hong Kong,4.3,388,hong kong,"G/F, Merlin Building, 30 Cochrane Street, Central,",Central,Central and Western District
pw7u,Shaka (Central),Japanese,4.6,167,hong kong,"Shop 1, G/F, Kar Ho Building, 39 Graham Street, Central,",Central,Central and Western District
nzmj,Aro Korean Restaurant,Korean,4.6,29,hong kong,"G/F, 28 Peel Street, Central,",Central,Central and Western District
s6hp,Prime Pho,Pho,4.9,688,hong kong,"Shop 10, 1/F, My Central, 23 Graham Street, Central,",Central,Central and Western District
w8pc,Staunton's Bar & Kitchen,International,4.6,119,hong kong,"G/F & 1/F, Treasure View Soho, 10-12 Staunton Street, Central,",Central,Central and Western District
v2wk,New Yuen Hing Roasted Meat Restaurant,Hong Kong,4.9,2195,hong kong,"G/F, Tin Chak Building, 34 Gilman's Bazaar, Central,",Central,Central and Western District
u0vx,Flat Iron Burger,Burgers,4.8,40,hong kong,"G/F, 27 & 29 Elgin Street, Soho, Central,",Central,Central and Western District
s7jb,Flaming Frango (Soho),Western,4.9,1464,hong kong,"G/F & C/L, Escapade, 55 Elgin Street, Central,",Central,Central and Western District
nzdp,Hazel & Hershey Coffee Roasters [R],Coffee,4.7,23,hong kong,"Shop 3, G/F, Ying Pont Building, 69 & 71 Peel Street, Central,",Central,Central and Western District
upn0,Root Vegan,Western,4.9,83,hong kong,"Shop 102-103, 1/F, Sunwise Building, 112-114 Wellington Street, Central,",Central,Central and Western District
y9cg,El Cerdo (Central),Spanish,4.9,26,hong kong,"G/F, 38 Elgin Street, Central,",Central,Central and Western District
cggw,WeBite Space,Bakery,5.0,32,hong kong,"Shop 3, 1/F, The Center, 99 Queen's Road Central, Central,",Central,Central and Western District
g6sx,Ever Shine,Western,4.8,212,hong kong,"G/F, 13 Peel Street, Central,",Central,Central and Western District
miqf,Chew Taiwan (Central Market),Taiwanese,4.4,231,hong kong,"Shop G18, G/F, Central Market, 93 Queen's Road Central, Central,",Central,Central and Western District
v0fa,Kreta Ayer Hainan Chicken Specialist (Central),Hainan chicken,4.9,633,hong kong,"G/F, Hop Hing Building, 30 Gilman's Bazaar, Central,",Central,Central and Western District
v4no,Noodles Family (Central),Cart Noodles,4.9,1750,hong kong,"Shop C, G/F, Wing Yee Commercial Building, 3-7 Wing Kut Street, Central,",Central,Central and Western District
ro68,Sham Tseng Chan Kee Roasted Goose (Central Jubilee Street),Siu Mei,4.6,252,hong kong,"G/F, 9 Jubilee Street, Central,",Central,Central and Western District
yu3i,Antonio (Central),Mediterranean,4.5,15,hong kong,"G/F, 33 Staunton Street Soho Sheung Wan,",Sheung Wan,Central and Western District
rel2,Cha Chaan Teng,Cha Chaan Teng,4.8,36,hong kong,"Shop B, G/F, Sunwise Building, 112-114 Wellington Street, Central,",Central,Central and Western District
v0vc,Affinity Kitchen (Central),Singaporean,4.9,863,hong kong,"G/F, Winhong Building, 18 Gilman's Bazaar, Central,",Central,Central and Western District
gox2,J&G Fried Chicken (Central),Fried Chicken,4.9,439,hong kong,"Shop 246A, 2/F, Central Market, 93 Queen's Road Central, Central,",Central,Central and Western District
n3km,Tuk Tuk Thai Restaurant,Thai,4.8,328,hong kong,"G/F, 30 Graham Street, Central,",Central,Central and Western District
usn0,MAQLA,Sichuan,4.8,51,hong kong,"Shop A, G/F, Ka Yee Court, 23 Mosque Street, Mid-Levels, 中環",Mid-Levels,Central and Western District
hei5,WestCoast Cafe,Coffee,4.6,17,hong kong,"Shop I, UG/F, The L. Place, 139 Queen's Road Central, Central,",Central,Central and Western District
v6zg,Sobremesa,Spanish,4.7,103,hong kong,"G/F, 9 Elgin Street, Central,",Central,Central and Western District
